id	split_type	membership	class
53773	train	4	2
53790	train	4	2
53799	train	4	2
53819	train	4	2
53825	train	4	2
53835	train	4	2
53837	train	4	2
53862	train	4	2
53876	train	4	2
53878	train	4	2
53879	train	4	2
53884	train	4	2
53890	train	4	2
53901	train	4	2
53910	train	4	2
53921	train	4	2
53926	train	4	2
53941	train	4	2
53963	train	4	2
53967	train	4	2
53972	train	4	2
53984	train	4	2
53989	train	4	2
54025	train	4	2
54033	train	4	2
54043	train	4	2
54052	train	4	2
54058	train	4	2
54075	train	4	2
54078	train	4	2
54090	train	4	2
54095	train	4	2
54105	train	4	2
54110	train	4	2
54125	train	4	2
54128	train	4	2
54134	train	4	2
54145	train	4	2
54160	train	4	2
54161	train	4	2
54168	train	4	2
54169	train	4	2
54220	train	4	2
54238	train	4	2
54240	train	4	2
54247	train	4	2
54262	train	4	2
54271	train	4	2
54277	train	4	2
54286	train	4	2
54292	train	4	2
54297	train	4	2
54299	train	4	2
54305	train	4	2
54306	train	4	2
54314	train	4	2
54315	train	4	2
54318	train	4	2
54325	train	4	2
54326	train	4	2
54330	train	4	2
54338	train	4	2
54350	train	4	2
54355	train	4	2
54375	train	4	2
54395	train	4	2
54408	train	4	2
54424	train	4	2
54432	train	4	2
54440	train	4	2
54448	train	4	2
54454	train	4	2
54456	train	4	2
54457	train	4	2
54480	train	4	2
54484	train	4	2
54511	train	4	2
54513	train	4	2
54519	train	4	2
54527	train	4	2
54541	train	4	2
54545	train	4	2
54551	train	4	2
54553	train	4	2
54556	train	4	2
54573	train	4	2
54574	train	4	2
54613	train	4	2
54633	train	4	2
54653	train	4	2
54674	train	4	2
54676	train	4	2
54680	train	4	2
54682	train	4	2
54709	train	4	2
54714	train	4	2
54737	train	4	2
54754	train	4	2
54756	train	4	2
54758	train	4	2
54762	train	4	2
54765	train	4	2
54768	train	4	2
54790	train	4	2
54794	train	4	2
54795	train	4	2
54796	train	4	2
54805	train	4	2
54806	train	4	2
54815	train	4	2
54831	train	4	2
54834	train	4	2
54837	train	4	2
54838	train	4	2
54840	train	4	2
54848	train	4	2
54854	train	4	2
54857	train	4	2
54866	train	4	2
54877	train	4	2
54893	train	4	2
54894	train	4	2
54908	train	4	2
54924	train	4	2
54951	train	4	2
54956	train	4	2
54973	train	4	2
54978	train	4	2
54981	train	4	2
54987	train	4	2
55001	train	4	2
55011	train	4	2
55032	train	4	2
55033	train	4	2
55040	train	4	2
55044	train	4	2
55049	train	4	2
55069	train	4	2
55070	train	4	2
55089	train	4	2
55100	train	4	2
55129	train	4	2
55137	train	4	2
55149	train	4	2
55157	train	4	2
55158	train	4	2
55170	train	4	2
55172	train	4	2
55176	train	4	2
55183	train	4	2
55186	train	4	2
55188	train	4	2
55193	train	4	2
55199	train	4	2
55202	train	4	2
55203	train	4	2
55209	train	4	2
55220	train	4	2
55228	train	4	2
55281	train	4	2
55300	train	4	2
55304	train	4	2
55308	train	4	2
55316	train	4	2
55319	train	4	2
55326	train	4	2
55352	train	4	2
55360	train	4	2
55373	train	4	2
55381	train	4	2
55391	train	4	2
55399	train	4	2
55404	train	4	2
55429	train	4	2
55433	train	4	2
55437	train	4	2
55443	train	4	2
55504	train	4	2
55507	train	4	2
55508	train	4	2
55525	train	4	2
55526	train	4	2
55528	train	4	2
55540	train	4	2
55542	train	4	2
55545	train	4	2
55559	train	4	2
55589	train	4	2
55625	train	4	2
55629	train	4	2
55637	train	4	2
55653	train	4	2
55655	train	4	2
55657	train	4	2
55662	train	4	2
55669	train	4	2
55678	train	4	2
55692	train	4	2
55704	train	4	2
55723	train	4	2
55749	train	4	2
55769	train	4	2
55782	train	4	2
55789	train	4	2
55808	train	4	2
55816	train	4	2
55833	train	4	2
55836	train	4	2
55857	train	4	2
55862	train	4	2
55899	train	4	2
55906	train	4	2
55912	train	4	2
55919	train	4	2
55933	train	4	2
55935	train	4	2
55950	train	4	2
55952	train	4	2
55969	train	4	2
55972	train	4	2
55982	train	4	2
55985	train	4	2
55987	train	4	2
55996	train	4	2
55997	train	4	2
56009	train	4	2
56027	train	4	2
56040	train	4	2
56049	train	4	2
56055	train	4	2
56065	train	4	2
56069	train	4	2
56079	train	4	2
56083	train	4	2
56088	train	4	2
56100	train	4	2
56104	train	4	2
56120	train	4	2
56125	train	4	2
56154	train	4	2
56168	train	4	2
56175	train	4	2
56188	train	4	2
56213	train	4	2
56215	train	4	2
56222	train	4	2
56223	train	4	2
56243	train	4	2
56263	train	4	2
56264	train	4	2
56282	train	4	2
56289	train	4	2
56298	train	4	2
56301	train	4	2
56312	train	4	2
56325	train	4	2
56335	train	4	2
56340	train	4	2
56355	train	4	2
56361	train	4	2
56372	train	4	2
56394	train	4	2
56403	train	4	2
56427	train	4	2
56465	train	4	2
56467	train	4	2
56473	train	4	2
56493	train	4	2
56498	train	4	2
56508	train	4	2
56513	train	4	2
56514	train	4	2
56540	train	4	2
56553	train	4	2
56558	train	4	2
56569	train	4	2
56579	train	4	2
56583	train	4	2
56590	train	4	2
56598	train	4	2
56612	train	4	2
56614	train	4	2
56631	train	4	2
56643	train	4	2
56655	train	4	2
56664	train	4	2
56665	train	4	2
56682	train	4	2
56687	train	4	2
56691	train	4	2
56719	train	4	2
56739	train	4	2
56752	train	4	2
56759	train	4	2
56762	train	4	2
56785	train	4	2
56795	train	4	2
56819	train	4	2
56821	train	4	2
56824	train	4	2
56847	train	4	2
56848	train	4	2
56864	train	4	2
56876	train	4	2
56901	train	4	2
56917	train	4	2
56919	train	4	2
56922	train	4	2
56926	train	4	2
56957	train	4	2
56961	train	4	2
56973	train	4	2
56993	train	4	2
56998	train	4	2
57007	train	4	2
57086	train	4	2
57096	train	4	2
57104	train	4	2
57105	train	4	2
57112	train	4	2
57113	train	4	2
57130	train	4	2
57139	train	4	2
57142	train	4	2
57151	train	4	2
57153	train	4	2
57163	train	4	2
57183	train	4	2
