id	split_type	membership	class
13	train	7	6
18	train	7	6
32	train	7	6
36	train	7	6
39	train	7	6
62	train	7	6
66	train	7	6
73	train	7	6
83	train	7	6
90	train	7	6
93	train	7	6
106	train	7	6
126	train	7	6
129	train	7	6
147	train	7	6
151	train	7	6
155	train	7	6
165	train	7	6
186	train	7	6
204	train	7	6
218	train	7	6
221	train	7	6
238	train	7	6
241	train	7	6
256	train	7	6
261	train	7	6
274	train	7	6
286	train	7	6
299	train	7	6
302	train	7	6
311	train	7	6
323	train	7	6
331	train	7	6
367	train	7	6
388	train	7	6
395	train	7	6
401	train	7	6
421	train	7	6
430	train	7	6
431	train	7	6
449	train	7	6
465	train	7	6
488	train	7	6
494	train	7	6
498	train	7	6
506	train	7	6
534	train	7	6
536	train	7	6
547	train	7	6
565	train	7	6
578	train	7	6
592	train	7	6
597	train	7	6
598	train	7	6
607	train	7	6
623	train	7	6
630	train	7	6
649	train	7	6
658	train	7	6
660	train	7	6
665	train	7	6
672	train	7	6
681	train	7	6
701	train	7	6
721	train	7	6
735	train	7	6
737	train	7	6
739	train	7	6
759	train	7	6
762	train	7	6
770	train	7	6
785	train	7	6
794	train	7	6
802	train	7	6
810	train	7	6
816	train	7	6
829	train	7	6
841	train	7	6
846	train	7	6
852	train	7	6
881	train	7	6
892	train	7	6
901	train	7	6
910	train	7	6
922	train	7	6
939	train	7	6
944	train	7	6
955	train	7	6
958	train	7	6
973	train	7	6
977	train	7	6
986	train	7	6
996	train	7	6
999	train	7	6
1020	train	7	6
1041	train	7	6
1070	train	7	6
1091	train	7	6
1092	train	7	6
1100	train	7	6
1113	train	7	6
1117	train	7	6
1136	train	7	6
1139	train	7	6
1146	train	7	6
1159	train	7	6
1182	train	7	6
1184	train	7	6
1189	train	7	6
1190	train	7	6
1202	train	7	6
1204	train	7	6
1224	train	7	6
1228	train	7	6
1240	train	7	6
1257	train	7	6
1266	train	7	6
1269	train	7	6
1297	train	7	6
1303	train	7	6
1309	train	7	6
1318	train	7	6
1323	train	7	6
1327	train	7	6
1337	train	7	6
1350	train	7	6
1358	train	7	6
1366	train	7	6
1389	train	7	6
1393	train	7	6
1398	train	7	6
1414	train	7	6
1415	train	7	6
1418	train	7	6
1424	train	7	6
1435	train	7	6
1456	train	7	6
1466	train	7	6
1488	train	7	6
1493	train	7	6
1494	train	7	6
1503	train	7	6
1504	train	7	6
1506	train	7	6
1515	train	7	6
1520	train	7	6
1536	train	7	6
1538	train	7	6
1540	train	7	6
1553	train	7	6
1557	train	7	6
1562	train	7	6
1567	train	7	6
1582	train	7	6
1617	train	7	6
1637	train	7	6
1642	train	7	6
1669	train	7	6
1671	train	7	6
1686	train	7	6
1688	train	7	6
1694	train	7	6
1706	train	7	6
1707	train	7	6
1708	train	7	6
1726	train	7	6
1731	train	7	6
1741	train	7	6
1750	train	7	6
1761	train	7	6
1768	train	7	6
1779	train	7	6
1781	train	7	6
1782	train	7	6
1784	train	7	6
1792	train	7	6
1801	train	7	6
1802	train	7	6
1830	train	7	6
1835	train	7	6
1844	train	7	6
1849	train	7	6
1866	train	7	6
1869	train	7	6
1886	train	7	6
1889	train	7	6
1890	train	7	6
1892	train	7	6
1898	train	7	6
1902	train	7	6
1906	train	7	6
1917	train	7	6
1918	train	7	6
1931	train	7	6
1951	train	7	6
1957	train	7	6
1980	train	7	6
1985	train	7	6
1986	train	7	6
1990	train	7	6
2005	train	7	6
2020	train	7	6
2025	train	7	6
2035	train	7	6
2044	train	7	6
2059	train	7	6
2061	train	7	6
2062	train	7	6
2093	train	7	6
2096	train	7	6
2113	train	7	6
2126	train	7	6
2138	train	7	6
2148	train	7	6
2152	train	7	6
2153	train	7	6
2156	train	7	6
2158	train	7	6
2163	train	7	6
2167	train	7	6
2178	train	7	6
2196	train	7	6
2212	train	7	6
2214	train	7	6
2226	train	7	6
2239	train	7	6
2242	train	7	6
2249	train	7	6
2259	train	7	6
2262	train	7	6
2291	train	7	6
2293	train	7	6
2295	train	7	6
2296	train	7	6
2300	train	7	6
2311	train	7	6
2320	train	7	6
2324	train	7	6
2345	train	7	6
2365	train	7	6
2372	train	7	6
2387	train	7	6
2397	train	7	6
2422	train	7	6
2459	train	7	6
2470	train	7	6
2474	train	7	6
2479	train	7	6
2480	train	7	6
2486	train	7	6
2487	train	7	6
2494	train	7	6
2496	train	7	6
2498	train	7	6
2504	train	7	6
2516	train	7	6
2519	train	7	6
2523	train	7	6
2533	train	7	6
2545	train	7	6
2556	train	7	6
2570	train	7	6
2573	train	7	6
2588	train	7	6
2590	train	7	6
2602	train	7	6
2607	train	7	6
2614	train	7	6
2631	train	7	6
2635	train	7	6
2637	train	7	6
